AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/5/2019,,,,1.1
2/5/2019,,,,0.6
3/5/2019,,,,2.9
4/5/2019,,,,3.1
5/5/2019,,,,3.4
6/5/2019,,,,0.2
7/5/2019,,,,0.0
8/5/2019,,,,0.0
9/5/2019,,,,0.0
10/5/2019,,,,0.0
11/5/2019,,,,0.0
12/5/2019,,,,4.6
13/5/2019,,,,3.5
14/5/2019,,,,2.6
15/5/2019,,,,0.2
16/5/2019,,,,0.0
17/5/2019,,,,0.0
18/5/2019,,,,0.0
19/5/2019,,,,0.0
20/5/2019,,,,0.0
21/5/2019,,,,0.0
22/5/2019,,,,0.0
23/5/2019,,,,15.4
24/5/2019,,,,7.1
25/5/2019,,,,3.2
26/5/2019,,,,0.0
27/5/2019,,,,1.7
28/5/2019,,,,0.0
29/5/2019,,,,0.0
30/5/2019,,,,1.0
31/5/2019,,,,0.0
